施設ID,施設GID,施設FID
ChIJxb5zUe79AGAR7XXrcEuDD-4,ChIJxb5zUe79AGAR7XXrcEuDD-4,0x6000fdee5173bec5:0xee0f834b70eb75ed
ChIJlZtw3ITmAGAREdmpdtFTR_o,ChIJlZtw3ITmAGAREdmpdtFTR_o,0x6000e684dc709b95:0xfa4753d176a9d911
ChIJuyjs15DmAGAR0_gNtrpe-lo,ChIJuyjs15DmAGAR0_gNtrpe-lo,0x6000e690d7ec28bb:0x5afa5ebab60df8d3
ChIJKX0Ril7nAGARo_IFtcLHmM8,ChIJKX0Ril7nAGARo_IFtcLHmM8,0x6000e75e8a117d29:0xcf98c7c2b505f2a3
ChIJtzMtsw2Zc18RmYJd2N-IFXk,ChIJtzMtsw2Zc18RmYJd2N-IFXk,0x5f73990db32d33b7:0x791588dfd85d8299
ChIJqdsa7zb5GGARisiGsP86Dp0,ChIJqdsa7zb5GGARisiGsP86Dp0,0x6018f936ef1adba9:0x9d0e3affb086c88a
ChIJWU5d6G_hGGAR2TZQvNPKSPw,ChIJWU5d6G_hGGAR2TZQvNPKSPw,0x6018e16fe85d4e59:0xfc48cad3bc5036d9
ChIJ21WfSgKMGGARl2nud1BAd00,ChIJ21WfSgKMGGARl2nud1BAd00,0x60188c024a9f55db:0x4d77405077ee6997
ChIJK3T4i3j1GGARvDThJEAdQUc,ChIJK3T4i3j1GGARvDThJEAdQUc,0x6018f5788bf8742b:0x47411d4024e134bc
ChIJs17-ZUyNGGARdWbE-z4pa30,ChIJs17-ZUyNGGARdWbE-z4pa30,0x60188d4c65fe5eb3:0x7d6b293efbc46675
ChIJ3wr9pzthGGARiCuiKEsXlm8,ChIJ3wr9pzthGGARiCuiKEsXlm8,0x6018613ba7fd0adf:0x6f96174b28a22b88
ChIJoaa3jciLGGARNykesg9pvBc,ChIJoaa3jciLGGARNykesg9pvBc,0x60188bc88db7a6a1:0x17bc690fb21e2937
ChIJjxT83iGdGGARw03GC9xcSag,ChIJjxT83iGdGGARw03GC9xcSag,0x60189d21defc148f:0xa8495cdc0bc64dc3
ChIJAwBUl-eLGGARqnsKFbJ84Tg,ChIJAwBUl-eLGGARqnsKFbJ84Tg,0x60188be797540003:0x38e17cb2150a7baa
ChIJyTixreuLGGARItt4MK04eNw,ChIJyTixreuLGGARItt4MK04eNw,0x60188bebadb138c9:0xdc7838ad3078db22
ChIJEWrPiK3zGGARijLR9uhHyc4,ChIJEWrPiK3zGGARijLR9uhHyc4,0x6018f3ad88cf6a11:0xcec947e8f6d1328a
ChIJY8gVsHrtGGARF1q53vQc0SQ,ChIJY8gVsHrtGGARF1q53vQc0SQ,0x6018ed7ab015c863:0x24d11cf4deb95a17
ChIJp2OF76yLGGAR2Evgy1KwSYo,ChIJp2OF76yLGGAR2Evgy1KwSYo,0x60188bacef8563a7:0x8a49b052cbe04bd8
ChIJazi87MiLGGARc3p0K6280AE,ChIJazi87MiLGGARc3p0K6280AE,0x60188bc8ecbc386b:0x1d0bcad2b747a73
ChIJHVGsSI55A2ARaLL_QQvbl6g,ChIJHVGsSI55A2ARaLL_QQvbl6g,0x6003798e48ac511d:0xa897db0b41ffb268
ChIJz73OI-3mAGAR1WcnBLRF5HI,ChIJz73OI-3mAGAR1WcnBLRF5HI,0x6000e6ed23cebdcf:0x72e445b4042767d5
ChIJVVVVFeveAGARlxG2HmxN2oE,ChIJVVVVFeveAGARlxG2HmxN2oE,0x6000deeb15555555:0x81da4d6c1eb61197
ChIJAWkHQERfGGARM9uVYhhfxO0,ChIJAWkHQERfGGARM9uVYhhfxO0,0x60185f4440076901:0xedc45f186295db33
ChIJ7Xr1LCz5UzURMagLU43r8Y4,ChIJ7Xr1LCz5UzURMagLU43r8Y4,0x3553f92c2cf57aed:0x8ef1eb8d530ba831
ChIJu7TwntP7MwwRPp4ZSzik1k4,ChIJu7TwntP7MwwRPp4ZSzik1k4,0xc33fbd39ef0b4bb:0x4ed6a4384b199e3e
ChIJr-oGEtrZGGARsbaC9uur_sc,ChIJr-oGEtrZGGARsbaC9uur_sc,0x6018d9da1206eaaf:0xc7feabebf682b6b1
ChIJnRh8PMnPGGAR0s4SjiXdlKo,ChIJnRh8PMnPGGAR0s4SjiXdlKo,0x6018cfc93c7c189d:0xaa94dd258e12ced2
ChIJF_beTPfBGGARKjAg5XOgjV4,ChIJF_beTPfBGGARKjAg5XOgjV4,0x6018c1f74cdef617:0x5e8da073e520302a
ChIJP-94V5CRQTURuKw4rhvxH_w,ChIJP-94V5CRQTURuKw4rhvxH_w,
ChIJp7ap3zGRQTURyXF82v0mbdg,ChIJp7ap3zGRQTURyXF82v0mbdg,0x35419131dfa9b6a7:0xd86d26fdda7c71c9
ChIJ3cVxML-RQTURhufbAiced-g,ChIJ3cVxML-RQTURhufbAiced-g,0x354191bf3071c5dd:0xe8771e2702dbe786
ChIJH9Vhe9WMGGARsJ9TUi-p_-c,ChIJH9Vhe9WMGGARsJ9TUi-p_-c,0x60188cd57b61d51f:0xe7ffa92f52539fb0
ChIJp3aI4tOMAGARRg5dK1E1dyc,ChIJp3aI4tOMAGARRg5dK1E1dyc,0x60008cd3e28876a7:0x277735512b5d0e46
ChIJ0wrAvLM7AWAR0ARok-xcymM,ChIJ0wrAvLM7AWAR0ARok-xcymM,0x60013bb3bcc00ad3:0x63ca5cec936804d0
ChIJU01rMIT1GGARZLdqEjpWrTU,ChIJU01rMIT1GGARZLdqEjpWrTU,0x6018f584306b4d53:0x35ad563a126ab764
